V1	V2
APEX1	DDR (Pearl2015)
APEX2	DDR (Pearl2015)
MBD4	DDR (Pearl2015)
MPG	DDR (Pearl2015)
MUTYH	DDR (Pearl2015)
NEIL1	DDR (Pearl2015)
NEIL2	DDR (Pearl2015)
NEIL3	DDR (Pearl2015)
NTHL1	DDR (Pearl2015)
OGG1	DDR (Pearl2015)
SMUG1	DDR (Pearl2015)
TDG	DDR (Pearl2015)
UNG	DDR (Pearl2015)
POLD1	DDR (Pearl2015)
POLD2	DDR (Pearl2015)
POLD3	DDR (Pearl2015)
POLD4	DDR (Pearl2015)
FEN1	DDR (Pearl2015)
LIG1	DDR (Pearl2015)
PCNA	DDR (Pearl2015)
HUS1	DDR (Pearl2015)
WRN	DDR (Pearl2015)
ALKBH1	DDR (Pearl2015)
APLF	DDR (Pearl2015)
APTX	DDR (Pearl2015)
GADD45A	DDR (Pearl2015)
GADD45G	DDR (Pearl2015)
HMGB1	DDR (Pearl2015)
HMGB2	DDR (Pearl2015)
PARG	DDR (Pearl2015)
PARP1	DDR (Pearl2015)
PARP3	DDR (Pearl2015)
PARP4	DDR (Pearl2015)
PNKP	DDR (Pearl2015)
POLE	DDR (Pearl2015)
POLH	DDR (Pearl2015)
POLL	DDR (Pearl2015)
TDP1	DDR (Pearl2015)
LIG3	DDR (Pearl2015)
POLB	DDR (Pearl2015)
XRCC1	DDR (Pearl2015)
PIF1	DDR (Pearl2015)
MSH2	DDR (Pearl2015)
MSH3	DDR (Pearl2015)
MSH6	DDR (Pearl2015)
MLH1	DDR (Pearl2015)
MLH3	DDR (Pearl2015)
PMS1	DDR (Pearl2015)
PMS2	DDR (Pearl2015)
MSH4	DDR (Pearl2015)
MSH5	DDR (Pearl2015)
EXO1	DDR (Pearl2015)
RFC2	DDR (Pearl2015)
RFC4	DDR (Pearl2015)
RFC3	DDR (Pearl2015)
RFC5	DDR (Pearl2015)
RFC1	DDR (Pearl2015)
RPA1	DDR (Pearl2015)
RPA2	DDR (Pearl2015)
RPA3	DDR (Pearl2015)
RPA4	DDR (Pearl2015)
POLE2	DDR (Pearl2015)
POLE3	DDR (Pearl2015)
POLE4	DDR (Pearl2015)
POLK	DDR (Pearl2015)
CUL4A	DDR (Pearl2015)
DDB1	DDR (Pearl2015)
DDB2	DDR (Pearl2015)
RBX1	DDR (Pearl2015)
CETN2	DDR (Pearl2015)
RAD23B	DDR (Pearl2015)
XPC	DDR (Pearl2015)
POLR2A	DDR (Pearl2015)
POLR2B	DDR (Pearl2015)
POLR2C	DDR (Pearl2015)
POLR2D	DDR (Pearl2015)
POLR2E	DDR (Pearl2015)
POLR2F	DDR (Pearl2015)
POLR2G	DDR (Pearl2015)
POLR2H	DDR (Pearl2015)
POLR2I	DDR (Pearl2015)
POLR2J	DDR (Pearl2015)
POLR2K	DDR (Pearl2015)
POLR2L	DDR (Pearl2015)
CUL3	DDR (Pearl2015)
CUL5	DDR (Pearl2015)
ERCC1	DDR (Pearl2015)
ERCC4	DDR (Pearl2015)
ERCC5	DDR (Pearl2015)
TCEB1	DDR (Pearl2015)
TCEB2	DDR (Pearl2015)
TCEB3	DDR (Pearl2015)
UVSSA	DDR (Pearl2015)
XPA	DDR (Pearl2015)
CDK7	DDR (Pearl2015)
ERCC2	DDR (Pearl2015)
ERCC3	DDR (Pearl2015)
GTF2H1	DDR (Pearl2015)
GTF2H2	DDR (Pearl2015)
GTF2H3	DDR (Pearl2015)
GTF2H4	DDR (Pearl2015)
GTF2H5	DDR (Pearl2015)
MNAT1	DDR (Pearl2015)
ERCC6	DDR (Pearl2015)
ERCC8	DDR (Pearl2015)
RAD23A	DDR (Pearl2015)
XAB2	DDR (Pearl2015)
ALKBH2	DDR (Pearl2015)
ALKBH3	DDR (Pearl2015)
MGMT	DDR (Pearl2015)
BLM	DDR (Pearl2015)
RMI2	DDR (Pearl2015)
TOP3A	DDR (Pearl2015)
TOP3B	DDR (Pearl2015)
BARD1	DDR (Pearl2015)
BRCA1	DDR (Pearl2015)
BRCA2	DDR (Pearl2015)
BRIP1	DDR (Pearl2015)
PALB2	DDR (Pearl2015)
FANCA	DDR (Pearl2015)
FANCB	DDR (Pearl2015)
FANCC	DDR (Pearl2015)
FANCE	DDR (Pearl2015)
FANCF	DDR (Pearl2015)
FANCG	DDR (Pearl2015)
FANCL	DDR (Pearl2015)
FANCM	DDR (Pearl2015)
APITD1	DDR (Pearl2015)
HES1	DDR (Pearl2015)
STRA13	DDR (Pearl2015)
UBE2T	DDR (Pearl2015)
FANCD2	DDR (Pearl2015)
FANCI	DDR (Pearl2015)
BRE	DDR (Pearl2015)
DNA2	DDR (Pearl2015)
FAN1	DDR (Pearl2015)
HELQ	DDR (Pearl2015)
KAT5	DDR (Pearl2015)
RAD51	DDR (Pearl2015)
RAD51C	DDR (Pearl2015)
TELO2	DDR (Pearl2015)
USP1	DDR (Pearl2015)
WDR48	DDR (Pearl2015)
NBN	DDR (Pearl2015)
RAD50	DDR (Pearl2015)
PPP4C	DDR (Pearl2015)
PPP4R1	DDR (Pearl2015)
