pair,type,burden
290d0ca5c183044dfb5f98e84bd2ca1cdc2aab53a21f90070e15694bd111fe16,del,42
295-24169-103S-32--295-25066N-72T-BLD,del,11
295-24172-103S-26--295-25066N-72T-BLD,del,5
295-24175-215U-34--295-25066N-72T-BLD,del,11
295-24184-215U-26--295-25066N-72T-BLD,del,13
2963,del,0
2964,del,0
2965,del,0
2966,del,1
2967,del,0
2968,del,0
2969,del,0
2970,del,0
2971,del,0
2972,del,0
2973,del,0
2974,del,0
2975,del,0
2976,del,0
2977,del,0
2978,del,0
2979,del,0
2980,del,0
2981,del,0
2982,del,0
2982202423e350625a9213329f841b023190e587635c72c66de7a841b3e00b8f,del,17
2983,del,0
2984,del,0
2985,del,0
2986,del,0
2987,del,0
2988,del,0
2989,del,0
2990,del,0
2991,del,0
2992,del,0
2993,del,0
2994,del,0
2995,del,0
2996,del,0
2997,del,0
2998,del,0
2999,del,0
29a625999b8102746891f4265f9aa80f576db0b4c9456ec553ff482d3c40d130,del,6
29b372caca7ac0df55f16fe9ce18e52022cee07eeed4ed6692bb5210aa7aa417,del,17
29c92c826c9be32c9026e917449cfd9871bc5b0acf21bbd8981c43a46fde33da,del,15
2a7d03d9baf47f8eb350e6993c8d7fb4e40c2b6a5aa3942b04b0fe98e697020b,del,42
2bad03c19cab85257edda097fbdaabccfe32f966ead99afe275023e0423afec1,del,18
2c62164585fe00eb93465364e38cf2b51b4c8f2c60d39c1d02847f332d4a408a,del,60
2e84eea0e07ed72ce78dbc3111fb143778370d58de40f30a66e36a37cc314191,del,60
2e9faf28897dce9dfd86c06101eeb7398f945036f13b5f9d78dd02e113ca9ba0,del,23
2ebb7adee8dfe2f8b4c0820e9138453f3cf04251686f23b187dc30bbb52c7e96,del,19
2fb1c6063e7eac401741e82a2ac128bcb29d26f1f7f301a41db9878ab7813f6f,del,4
3000,del,0
3001,del,0
3002,del,0
3005,del,0
3006,del,0
3007,del,0
3008,del,0
3009,del,0
3011,del,0
3012,del,0
303-23599-41K-35--303-24975N-41K-GST,del,17
303-23602-162L-38--303-24975N-41K-GST,del,13
303-23605-162L-36--303-24975N-41K-GST,del,15
303-24660-41K-37--303-24975N-41K-GST,del,14
30e5afb25005a5e6be0c0de29595b2f386308b854a73ffb15317c461718205a3,del,5
310c15daca2145583e440e9a6ab0a6052fa4d08b785d6455e961ddce5f4196fe,del,21
3132e2e81d7312f93261cf771e6cc7fdb8e4800ad8d8f4049bc7ec800b08789c,del,54
314b3b4419dd1967f0dc9d10e75e3c7e9fc44d9ca43a0994f5c53cb4bee343b3,del,18
3180f8e34845d13e27dddd90486dba083cd87a340d919f75d29859766f7faee4,del,33
322-24394-130U-30--322-25067N-130U-BLD,del,6
322-24403-31M-28--322-25067N-130U-BLD,del,8
322-24406-31M-32--322-25067N-130U-BLD,del,4
322-24807-130U-35--322-25067N-130U-BLD,del,3
32f6dd0cf166e5d3a0a43d41f24ecbe88f1dae02f2aa8f52611b4211877cfecf,del,37
3308,del,0
33213ed7688e535922f25a5c920040d9bfda8801fd32ff3aaee12ae0ad627f48,del,12
3324,del,0
335a0dc4a512dca9beb8390740b17ead2209d5e8550c970940668936df336e32,del,36
3363,del,0
3370,del,2
3372,del,0
3387,del,2
3394,del,3
3408,del,2
3415,del,54
3428,del,0
3454,del,0
3455,del,0
3466,del,24
3467,del,0
3468,del,0
3472,del,0
3473,del,0
34f4a1f2b8d24914cefc12aee36ebb37504d07511b70fec088a1d4102da92df0,del,13
350f647ea7d662181d621fc85e3ff5aec0df7cef64c67862b47042524e14d482,del,11
3514,del,4
3516,del,5
3518,del,3
3529,del,30
3534,del,0
3555,del,1
3574,del,2
3582,del,8
3593,del,20
360-24409-115M-25--360-25005N-225S-BLD,del,6
360-24412-115M-30--360-25005N-225S-BLD,del,8
360-24810-239U-25--360-25005N-225S-BLD,del,9
360-24813-239U-23--360-25005N-225S-BLD,del,9
3664,del,22
3666,del,32
3685,del,9
36b945ee0e5c10e51bc0eb32ec06b3b1745c5ad2814d376b5ceccfd96e5c5b3a,del,18
3709a5a3c78b4c21fbcb1c6a15585b054c7d38d78a1eaa3ee4e307b79c11a245,del,23
3727,del,16
3771,del,38
3772,del,1
37b56a8f3ae8e0f59bb17651a17a967c62f68204140b18b7d013c9eb709c69d2,del,61
3807,del,19
3809,del,2
381-23836-79T-27--381-25006N-248R-BLD,del,3
381-23839-79T-23--381-25006N-248R-BLD,del,7
381-23842-234U-27--381-25006N-248R-BLD,del,9
381-23845-234U-23--381-25006N-248R-BLD,del,4
381-23848-22H-30--381-25006N-248R-BLD,del,6
381-23851-22H-26--381-25006N-248R-BLD,del,7
3810,del,10
385-24421-148R-27--385-24955N-148R-GST,del,11
385-24424-148R-29--385-24955N-148R-GST,del,5
385-24816-164U-29--385-24955N-148R-GST,del,10
385-24819-164U-31--385-24955N-148R-GST,del,7
387-23656-309J-39--387-24974N-309J-GST,del,0
387-23659-309J-30--387-24974N-309J-GST,del,9
387-23662-173L-36--387-24974N-309J-GST,del,3
387-23665-173L-29--387-24974N-309J-GST,del,9
3885,del,13
3890,del,30
3896,del,14
3901,del,0
391-23521-155R-31--391-25007N-73P-BLD,del,11
391-23866-82K-33--391-25007N-73P-BLD,del,8
391-23869-82K-31--391-25007N-73P-BLD,del,2
391-23872-155R-34--391-25007N-73P-BLD,del,17
3913,del,12
3917,del,10
3918,del,3
3920,del,16
3924,del,0
3925,del,0
3926,del,0
392af0c06be23bfc8f60361072a92268662bbd2b0d739201b5c2fbd34a15ff25,del,17
39402fc51383058bbd48d13bfe8dc613c344e0cdf764561fa33f861bd0e362e8,del,18
3956,del,6
396-24445-52V-35--396-25008N-52V-BLD,del,3
396-24448-52V-37--396-25008N-52V-BLD,del,6
396-24457-98A-37--396-25008N-52V-BLD,del,35
396-24461-98A-37--396-25008N-52V-BLD,del,30
3977,del,3
398e77278e5c2862fb2e8aad0059dca67ecf21af5a47df0c59c4e658aa882302,del,10
3994,del,9
39967f20672678ab9fbeb33d30920937ad5e1a4b0485382920ac1fee8edcadbe,del,14
3abbfc149ac774b3bfed61438c5b709a473c0c6162b6707b4bfebef67eba2260,del,11
3abbfc149ac774b3bfed61438c5b709a473c0c6162b6707b4bfebef67eba2260.2,del,11
3b5faf7fabba6b596f14ce281d06ce54af4d06027722cfd3114b8f0dd0ab5ae5,del,34
3d2fee3d76b8059823c9262d59d1842189785bf37241b8df5c12f8a261598e35,del,89
3d6f94f343bc3a4030461f304e31d6aea165b3bb39f965d71697c7db8c1cee47,del,24
3ecd9b003fa28a4fde294f8a7b8f0f260fcf21f80d9ca1cf4e6312caab88c6a7,del,7
3f033a2314ecd6d19bd09179af1fd688ee38da8a63ea2b0879ec99d86e7460d6,del,0
3f09772b941e0dc3721126176238df54197fca741e9c633c0860bc68791c6e7a,del,24
3ff03763c8288dca4d2513ab1f9ce95572eef640989b55b7ed10a722484ac238,del,6
3fff03c9f87217265b27301425821d28012ec9572f60666565d1d3dc802d1030,del,25
4007,del,23
4008,del,11
4015,del,7
403-24383-153N-30--403-24957N-153N-GST,del,4
403-24385-153N-33--403-24957N-153N-GST,del,11
403-24388-175J-30--403-24957N-153N-GST,del,2
403-24391-175J-32--403-24957N-153N-GST,del,3
4076,del,11
4077,del,19
4099,del,0
4101,del,0
4101316,del,4
4102,del,0
4102009,del,12
4103,del,0
4103141,del,4
4104,del,5
4104893,del,5
4105105,del,1
4105746,del,3
4107137,del,33
4108101,del,1
4108992,del,3
4110378,del,5
4111326,del,6
4111337,del,4
4112447,del,0
4112512,del,0
4113,del,0
4113191,del,4
4113825,del,2
4114,del,0
4115,del,0
4115001,del,15
4116,del,2
4116738,del,30
4117,del,0
4119027,del,0
4119279,del,13
4120157,del,12
4120193,del,16
4120403,del,1
4121361,del,0
4124188,del,7
4124542,del,2
4125240,del,0
4127766,del,0
4128477,del,2
4128852,del,2
4130003,del,0
4131095,del,0
4131257,del,17
4133263,del,0
4133511,del,5
4134005,del,3
4134434,del,10
4135,del,28
4135099,del,117
4135350,del,4
4136702,del,10
4138527,del,86
4138885,del,1
4139696,del,0
4142267,del,1
4142605,del,14
4144633,del,0
4144951,del,3
4145056,del,2
4145177,del,14
4145528,del,77
4146289,del,5
4147081,del,1
4147968,del,42
4149246,del,0
4150895,del,11
4157186,del,1
4159170,del,0
4159421,del,21
4160100,del,9
4160468,del,0
4161781,del,9
4163639,del,36
4165379,del,0
4166151,del,2
4166503,del,3
4166706,del,5
4170686,del,0
4172511,del,0
4174905,del,0
4175837,del,11
4176133,del,7
4177376,del,6
4177434,del,7
4177601,del,0
4177810,del,2
4177856,del,0
4177987,del,1
4178310,del,0
4178345,del,0
4178655,del,11
4181460,del,3
4182393,del,0
4184094,del,2
4188398,del,33
4188879,del,3
4188900,del,0
4189035,del,13
4189200,del,2
4189998,del,0
4190495,del,0
4190784,del,0
4191799,del,31
4193278,del,2
4193638,del,12
4194218,del,0
4194891,del,0
4196670,del,1
4198542,del,2
4199714,del,6
4199996,del,2
41db2179d8691b0d49e9bc19245ac8af93d9c637a498ec7ab822269664452482,del,47
42-24283-147M-34--42-24954N-53L-GST,del,6
42-24286-147M-38--42-24954N-53L-GST,del,1
42-24289-53L-34--42-24954N-53L-GST,del,4
42-24292-53L-36--42-24954N-53L-GST,del,13
422-24481-59W-30--422-25068N-135T-BLD,del,6
422-25117-221S-31--422-25068N-135T-BLD,del,4
422-25123-221S-29--422-25068N-135T-BLD,del,6
422-25129-59W-31--422-25068N-135T-BLD,del,3
4225,del,20
4255,del,2
4280,del,10
42a2b2ad86b3d0f66ecec5ce1d8b0cca6e334d365d6434d2bf1050e9b2f97990,del,18
43-23585-26O-35--43-24956N-29P-GST,del,5
43-23593-29P-28--43-24956N-29P-GST,del,15
43-24696-26O-35--43-24956N-29P-GST,del,4
43-25093-29P-30--43-24956N-29P-GST,del,13
4326,del,0
4327,del,0
433-23890-37N-30--433-25069N-154W-BLD,del,6
433-23896-45R-30--433-25069N-154W-BLD,del,5
433-23899-45R-26--433-25069N-154W-BLD,del,8
433-24678-37N-28--433-25069N-154W-BLD,del,7
43776438d2da3665682507747485430a7b1fd322b84446bcbf6a3e3dd9cfea32,del,0
4389,del,9
4395,del,6
4396,del,10
4397,del,16
4398,del,5
4422,del,1
4432,del,5
4442,del,8
4443,del,21
445fe324ced35562aa4eb787ace04dc826bbc25ec67b236bba7f226837270672,del,38
4474,del,1
4486,del,3
450-23914-37P-34--450-25070N-120R-BLD,del,9
450-23920-120R-34--450-25070N-120R-BLD,del,7
450-23923-120R-29--450-25070N-120R-BLD,del,9
450-24753-37P-29--450-25070N-120R-BLD,del,6
4510,del,1
4512,del,2
4586,del,19
4617,del,0
4628,del,27
46289e477dc440bdafb440b79c282ebc60c7265daca677a5cba4863eeac20fa9,del,16
4630,del,39
4639,del,0
4659,del,3
4666,del,6
4721,del,29
4737,del,21
4741,del,11
4756,del,0
478-23938-114T-33--478-25071N-116V-BLD,del,7
478-23941-114T-31--478-25071N-116V-BLD,del,7
478-23944-52A-32--478-25071N-116V-BLD,del,4
478-23947-52A-30--478-25071N-116V-BLD,del,8
478-23950-46F-34--478-25071N-116V-BLD,del,7
478-23953-46F-32--478-25071N-116V-BLD,del,5
4781,del,1
47c4c85dbaca7b6e9e803f300c3d96a065ef3935c57390e6a6f4f29e6e8e6e3f,del,22
4807,del,2
483-23824-246S-28--483-24961N-246S-GST,del,0
483-23827-246S-26--483-24961N-246S-GST,del,4
483-23830-132U-31--483-24961N-246S-GST,del,0
483-23833-132U-28--483-24961N-246S-GST,del,1
4856,del,0
4870,del,0
4878,del,0
4885,del,0
4899,del,0
48bba806613d4dc7b432d75c0069ee314684f6d69e3f52503b52f3150448dc14,del,31
490ae7348c12a59b53192e341610b5c588783c80cbd969631ecf953ad0baf508,del,28
4918,del,0
493bf7322b8c18365466c43bf7a9e119bd4d7782147f9bc368bf4909539c43de,del,21
4968,del,0
4977,del,2
4a1132bd3e8862b6dd112bd68d86287a243e252cc36df16ea0e4e18a0895bb5b,del,24
4b835a2c95eb284c4c3d48acdb251e067134f9789ebe63e622dae04ad3c286ee,del,4
4e8a9e9de13e84cb13e7f68253d35f16e193470fcdb70f686c8bacfd2424356a,del,32
4f47f6288df7369b28f5c8b57440ea1196b2d92fca571abc1c83c18062924dc3,del,43
4f7206365f5e132362b7810efb9b1797ddd516db3155fec497ef0c20014f90d3,del,17
5010,del,2
5066,del,1
5094,del,9
50da2d6b3ff31238fea9f4ebb147722fc306715eea709cd1107d229810ce4202,del,16
51061bea37675a197e1e8e1cfeac9df7efd12166082308a3f471c61fb9005735,del,28
5108af817a712e94d4f20406172cd020f05bdc131220b241bbc94e28c353c9b2,del,33
512-23968-43R-32--512-25072N-306R-BLD,del,30
512-23971-43R-27--512-25072N-306R-BLD,del,20
512-23974-306R-33--512-25072N-306R-BLD,del,43
512-23977-306R-29--512-25072N-306R-BLD,del,15
513a077abb45b77174564db736c795e80db50fb6613c65dd52ac30362f5ac7a5,del,8
5147,del,1
5149,del,15
515-23683-156T-35--515-25073N-18V-BLD,del,1
515-23686-18V-37--515-25073N-18V-BLD,del,0
515-23689-18V-36--515-25073N-18V-BLD,del,1
515-24723-156T-36--515-25073N-18V-BLD,del,1
5153,del,0
5168,del,0
521-23579-143Y-30--521-25074N-142U-BLD,del,2
521-24651-165P-30--521-25074N-142U-BLD,del,1
521-24654-165P-28--521-25074N-142U-BLD,del,3
521-24657-143Y-28--521-25074N-142U-BLD,del,3
5240,del,3
5249,del,0
5250,del,6
5260,del,14
5261,del,5
5262,del,7
5278,del,0
5318,del,3
5319,del,0
5365,del,28
5374,del,11
5395,del,1
541-24223-55O-33--541-24963N-55O-GST,del,4
541-24226-55O-31--541-24963N-55O-GST,del,4
541-24229-69R-32--541-24963N-55O-GST,del,3
541-24232-69R-30--541-24963N-55O-GST,del,5
5411,del,3
5415,del,5
5429,del,2
5431,del,14
5432,del,17
5442,del,10
5443,del,6
5453,del,3
5454,del,0
5477,del,21
5485,del,8
5492,del,9
55-23611-140P-31--55-25056N-204U-BLD,del,10
55-23614-204U-32--55-25056N-204U-BLD,del,3
55-23617-204U-30--55-25056N-204U-BLD,del,3
55-23620-67G-33--55-25056N-204U-BLD,del,0
55-23623-67G-31--55-25056N-204U-BLD,del,6
55-24702-140P-32--55-25056N-204U-BLD,del,3
5503,del,0
5506,del,0
5508a19531d9031685aba3008e0d3340a4cab684b5c62b1b1926d429d35c60c3,del,10
551-24433-158P-30--551-25017N-129P-BLD,del,3
551-24436-158P-32--551-25017N-129P-BLD,del,1
551-24439-186T-29--551-25017N-129P-BLD,del,6
551-24822-186T-31--551-25017N-129P-BLD,del,2
5556,del,0
5566,del,0
5579,del,22
5585,del,0
5625,del,10
5629,del,52
5633,del,0
5635,del,0
5645,del,0
5647,del,20
5651,del,5
5653075dfbef8dbf0fd2c89d49e162c3decfdf3b62db87ee57a7124937af2792,del,35
5656,del,6
5659,del,3
5670,del,32
568-24690-177S-27--568-25075N-302T-BLD,del,4
568-24693-177S-30--568-25075N-302T-BLD,del,5
568-24885-191U-31--568-25075N-302T-BLD,del,6
568-24888-191U-31--568-25075N-302T-BLD,del,22
5681,del,0
5682,del,1
5693,del,0
5695,del,0
572-23776-94R-32--572-24962N-94R-GST,del,13
572-23779-94R-31--572-24962N-94R-GST,del,11
572-23785-66V-32--572-24962N-94R-GST,del,11
572-24741-66V-34--572-24962N-94R-GST,del,3
5723,del,8
5724,del,11
5730,del,5
575-24541-32W-30--575-25019N-181R-BLD,del,6
575-25141-181R-28--575-25019N-181R-BLD,del,6
575-25147-181R-26--575-25019N-181R-BLD,del,15
575-25150-32W-32--575-25019N-181R-BLD,del,4
5750,del,3
5763,del,0
5771,del,0
5782,del,81
5788,del,19
5789,del,0
5799,del,10
57a0663fa71fd2018b62bf8a5a5090b31ca2a7bb834cf056d34a9ec8a9afdff8,del,91
57b7a98ac74112257612b3cadd241ef30d2cf823cac485e03f450365b7c6c789,del,18
5802,del,16
582a585182fcbf965e2f8fbab693d758f1838b685f002c0ad06aed112b99531d,del,31
5870,del,0
5872,del,1
5874,del,3
59-23638-114U-33--59-24989N-165S-BLD,del,0
59-23641-114U-31--59-24989N-165S-BLD,del,0
59-23644-48W-33--59-24989N-165S-BLD,del,5
59-23647-48W-31--59-24989N-165S-BLD,del,7
59-23650-95F-34--59-24989N-165S-BLD,del,3
59-23653-95F-32--59-24989N-165S-BLD,del,5
5930,del,57
5932,del,8
5960,del,4
5964,del,0
5965,del,0
5973,del,21
5987,del,0
5a14b5248d76d98bda5dbcd1450b97ed6d6924045908299241f47080e057b505,del,36
5a6c12d7e4141588ba41e5a07c2fdf878a57510ea4957fddbe1ce88e51d57864,del,50
5b04c05bf5123ac16736f99285b1e7836815beab7399a4ffe44dc5c70e71a5e1,del,11
5b45e0020f3ea36f4d034583a794622a871f1d67e133f83e8e9eb716a69c5ebc,del,22
5b557890e45f2aabf992413035f27efd8083136ab3672325e68f00b2431b6c40,del,37
5da22e00966d4943aec9b7a576a2b19142226ea471f15fc5af051c53878b972c,del,25
5dc4cf7cf944d91a6b9f54b6cd4aacff655f469bfa2e2569187f4ca7b20d1f5f,del,7
5e49d3e75f5a5faefb000800dda151a99cb2efe29603c7437a4a234c88bbb383,del,13
