pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A0C8,1691,1388,436,0,0,0,0,130,0,0,1740,0,3012,377,0,0,0,0,0,0,0,0,0,0
A13J,958,1749,0,0,284,0,0,0,358,0,1960,0,6943,0,179,0,0,0,0,0,0,0,0,0
A1A5,698,10921,0,0,4835,0,0,0,0,0,11819,0,3,0,0,0,0,0,0,0,0,0,0,0
A1A6,1130,7865,39,32,0,0,0,0,0,0,9964,0,11207,430,0,0,0,0,891,0,0,0,0,100
A1A7,1772,1455,783,0,13147,0,0,496,0,0,725,0,0,0,0,0,0,0,0,0,0,0,516,0
A1AE,716,3146,3451,0,0,0,0,0,0,0,2990,0,1460,622,0,0,0,0,161,0,0,0,0,0
A20P,1473,758,4,0,0,0,14,0,0,0,4818,0,2383,0,451,0,0,0,0,0,0,0,0,0
A20Q,1420,2827,235,0,0,0,0,0,0,0,2569,0,1363,106,121,0,0,0,0,0,0,0,0,0
A20T,782,11345,0,0,0,0,0,0,0,0,9410,0,5927,0,1253,0,0,0,0,0,0,0,0,205
A20V,2254,1580,304,0,3379,0,2331,120,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0
A27C,741,4427,89,135,0,0,0,0,339,0,4922,0,2320,0,0,0,0,0,0,0,0,0,0,0
A2C5,647,6899,130,50,0,0,0,0,106,0,7656,0,5849,0,550,0,0,0,0,0,49,0,0,0
A2HQ,0,9569,2705,4773,0,0,4179,0,0,0,12476,0,15167,0,0,0,0,0,0,0,2517,0,0,0
A2LA,7575,6948,165,14,0,0,0,0,0,0,7649,0,2350,52,0,0,0,0,0,0,0,0,0,0
A3EE,622,2047,0,0,6709,0,0,0,0,0,1025,0,1000,0,0,0,0,0,0,0,0,0,0,0
A3IL,0,1120,0,0,11177,0,0,0,0,0,970,0,12,0,888,0,0,0,0,0,0,0,0,0
A3MF,2300,285,0,0,0,0,325,94,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0
A3N5,0,2187,0,93,15954,0,0,0,0,0,1131,0,13984,0,0,0,0,0,0,0,0,0,0,0
A3N6,2531,2092,3457,0,0,0,0,91,249,67,2202,0,0,1535,0,0,0,0,0,0,0,0,0,0
A3PH,1044,13651,0,0,4267,0,0,0,0,0,16730,0,0,0,0,0,0,0,0,0,0,0,0,0
A3PJ,1073,18629,662,0,0,0,0,93,0,0,10610,0,13643,0,0,0,0,0,0,0,0,0,0,729
CA-0186,903,4118,766,574,0,0,1185,0,0,0,4450,332,0,0,0,0,0,0,1159,0,0,0,0,0
CA-0187,0,0,0,70779,0,0,8960,0,0,0,3551,0,100,0,0,0,0,0,0,0,0,0,0,0
CA-0188,599,4214,176,0,0,0,0,535,752,0,3069,0,11725,0,0,0,0,0,0,0,0,0,897,0
CA-0191,1251,7735,10661,0,0,0,0,278,657,0,13188,0,359,0,0,0,0,0,0,0,0,0,0,0
CA-0192,40,0,0,0,0,0,0,11,0,1,0,0,122,0,13,0,0,0,0,0,0,0,0,0
PM1111-Z1,935,22416,0,0,5304,0,0,0,0,0,19274,0,0,113,0,0,0,0,0,0,0,0,0,0
PM748-Z26-1,0,614,0,1859,0,0,2047,0,0,0,484,173,0,0,0,1271,0,0,2436,0,0,0,0,0
