pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
5260,695,0,0,0,0,0,1613,148,0,306,0,0,204,0,0,0,0,1900,0,0,0,0,0,526
5261,378,86,0,25,2485,0,792,0,0,0,122,0,162,0,0,0,0,0,0,0,0,0,0,0
5262,0,217,35,5515,0,0,172,132,0,0,0,0,6988,0,0,0,0,413,0,0,0,170,0,0
A10Q,475,385,0,0,2908,0,648,66,0,0,0,0,8,553,0,0,0,0,0,0,0,0,0,0
A1E9,0,366,0,0,4994,0,89,0,0,0,0,0,397,226,0,0,0,0,0,0,0,0,0,0
A1EB,0,1343,902,12818,0,0,2004,263,0,2886,0,0,2394,0,0,0,0,0,0,0,0,0,0,0
A1ED,0,0,0,0,553,0,0,0,0,0,0,0,1453,0,0,31,0,0,0,0,0,0,0,0
A1EG,0,415,0,622,5019,0,134,0,0,0,0,0,499,0,0,0,0,280,0,0,0,0,0,0
A1EH,369,65,0,0,2513,0,203,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0
A1EI,216,125,0,142,1296,0,0,0,0,0,250,0,2572,0,0,0,0,0,0,0,0,0,0,0
A1EJ,502,306,382,131,4538,0,0,62,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0
A1EL,0,0,0,0,2557,83,0,157,0,0,0,0,0,0,0,0,0,0,0,4720,0,0,0,0
A1HT,172,172,0,5042,31,84,0,0,0,0,0,0,3916,0,0,0,0,0,0,0,0,0,0,0
A216,0,321,0,193,2245,0,2423,0,0,0,0,0,1538,0,0,0,0,0,0,0,0,0,0,348
A217,0,666,0,3067,153,377,195,0,0,807,0,0,6944,0,0,0,0,1961,0,0,0,0,0,0
A23B,0,679,0,2371,7367,0,216,0,0,862,0,0,759,0,0,0,0,0,0,0,0,0,0,0
A25S,0,851,0,4339,10033,0,82,375,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0
A25T,622,189,483,0,1226,0,295,0,209,0,0,0,81,676,0,0,0,0,0,0,0,0,0,0
A25V,0,426,0,2560,1389,0,277,0,0,0,0,0,3366,0,0,0,0,0,0,0,0,0,0,0
A25W,0,544,0,764,7276,0,0,0,0,0,341,0,45,0,0,0,0,0,0,0,0,0,0,0
A25Y,339,281,274,1094,2350,0,1111,0,329,0,219,0,361,0,0,0,0,0,0,0,0,0,0,0
A26S,0,243,0,3056,217,0,868,0,0,798,0,0,5027,0,1541,0,0,273,0,0,0,0,0,319
A2HS,218,445,0,309,6385,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0
