pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
CA-0229,454,37,313,0,0,0,1480,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1301-Z1,0,239,0,0,0,0,0,0,203371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM692-Z3-1,4952,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM753-Z2-1,4286,0,0,0,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM815-Z3-1,5266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM846-Z2-1,4603,0,484,0,0,0,2029,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
PM877-Z2-1,4462,0,68,0,1302,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM883-Z2-1,5041,0,457,0,0,0,298,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
PM884-Z13-1,4950,0,670,0,0,0,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM902-Z1-1,5816,0,0,0,0,0,995,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
PM935-Z1-1,7016,0,0,0,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
