pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A3YB,2394,1003,318,0,0,0,918,0,0,0,740,0,5069,1197,0,0,0,0,0,0,0,0,0,0
A49L,918,1957,5841,669,0,0,156,208,0,0,1879,0,3563,3650,0,0,0,0,0,0,0,0,0,0
A49M,650,8962,850,0,0,0,0,0,0,0,7113,0,5618,444,0,0,0,0,0,0,0,0,0,0
A49Y,0,3153,0,29885,0,1592,0,0,0,0,1725,0,0,165,0,0,0,0,0,0,0,0,0,0
A4A1,946,0,233,0,0,0,30,0,0,0,863,0,13098,299,0,0,0,0,0,0,0,0,0,0
A4A4,507,2075,520,350,0,706,68,22,0,0,1210,0,7452,1553,0,0,0,0,0,0,0,0,0,0
A5U5,894,446,1229,0,4780,0,0,121,0,0,329,0,0,1505,0,0,0,0,0,0,0,0,0,0
A7RC,997,805,436,154,6126,0,4181,305,0,0,838,0,629,2575,0,0,0,0,0,0,0,0,0,0
A8I1,822,288,889,0,0,151,0,29,0,0,710,0,6228,1510,0,0,0,0,0,0,0,0,0,0
A97I,1070,1680,4897,0,0,0,0,451,149,0,2390,0,2474,483,0,0,0,0,0,0,0,0,0,0
A9FQ,616,1689,5656,0,0,0,0,132,150,96,1478,0,556,664,0,0,0,0,0,0,0,0,0,0
