pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A03L,369,160,3,0,1339,0,0,0,0,0,153,0,0,629,0,0,0,0,0,0,0,0,0,0
A03N,1887,2943,472,18,0,0,0,49,0,0,2726,0,0,522,0,0,0,0,0,0,0,0,0,0
A04D,521,118,6985,0,0,0,0,81,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
A04J,397,94,2621,0,12,0,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04P,526,214,10338,0,0,0,808,207,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0
A04Q,197,89,488,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04T,489,372,6574,0,0,0,101,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
A04X,225,1391,0,0,0,0,731,0,0,140,1036,0,0,0,0,0,0,0,0,5,0,0,0,213
A075,378,1391,3707,0,0,0,1820,0,0,0,656,0,0,0,0,0,0,0,0,8,0,0,0,0
A07B,1216,1084,2337,0,0,0,0,0,136,0,1165,0,91,0,0,0,0,0,0,0,0,0,0,0
A07I,1986,384,4,0,1474,0,467,0,0,0,268,0,0,68,0,0,0,0,0,0,0,0,0,0
A08L,213,4022,5675,133,0,0,7960,444,369,0,3929,0,0,0,0,0,0,0,0,0,0,0,0,0
A08S,979,288,0,0,3410,0,43,0,0,0,143,0,0,138,0,0,0,0,0,0,0,0,0,0
A092,1825,1974,1507,0,0,0,0,24,0,0,2298,0,320,0,0,178,0,0,0,0,0,0,0,0
A094,667,5470,4372,0,0,0,0,528,0,1602,6730,0,193,0,0,0,0,0,0,0,0,0,0,0
A09I,3769,2600,1508,0,0,0,1165,778,0,0,2296,278,0,165,0,0,0,0,0,0,0,0,0,0
A09X,1211,869,134,0,0,0,5,24,0,0,1291,0,663,100,0,0,0,0,0,0,0,0,0,0
A0AT,613,0,8603,0,0,0,0,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AV,460,373,6127,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0
A0B3,443,217,11,0,3220,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0
A0B9,340,153,73,0,2132,0,187,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0
A0BW,0,0,0,1275,1143,0,6233,102,0,0,1070,0,0,2909,0,0,0,0,0,0,0,0,0,690
A0CE,478,191,7185,0,0,0,0,0,0,0,203,0,172,0,0,0,0,0,0,15,0,0,0,0
A0CM,710,2088,41,0,5374,0,3520,719,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0
A0D0,715,185,8077,0,441,0,0,90,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0
A0D1,1176,847,0,0,2516,0,0,0,0,0,371,0,5,0,0,0,0,0,0,0,0,0,0,0
A0D2,367,209,5929,0,0,0,0,42,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0
A0D4,203,544,0,419,3089,181,197,0,0,0,0,0,11,3821,0,0,0,0,0,0,0,0,0,0
A0DG,320,475,95,0,1321,0,0,0,0,0,213,31,0,86,0,0,0,0,0,0,0,0,0,0
A0DT,456,72,3,0,406,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0E0,1006,195,1893,0,694,0,41,32,0,0,0,0,196,0,0,0,0,0,0,7,0,0,0,0
A0EA,466,170,0,60,0,0,256,32,135,0,0,0,147,1430,0,278,0,0,0,0,0,0,0,0
A0EY,2162,9058,1301,0,0,0,0,75,0,0,5423,0,0,1776,0,0,0,0,0,0,0,0,0,0
A0G0,664,92,0,0,3373,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0
A0H0,562,212,0,0,1789,0,0,0,187,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
A0H6,1429,131,99,2,0,0,44,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0
A0I1,813,136,11,0,4523,0,51,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0
A0I2,995,560,1835,0,0,0,0,59,0,0,634,0,495,0,0,0,0,0,0,0,0,0,0,0
A0IJ,580,1035,9137,0,0,0,565,290,0,0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0
A0IQ,675,215,4554,11,148,0,0,169,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
A0J2,69,123,4113,18,0,350,3754,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0J4,420,256,5970,0,0,0,0,131,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JM,1845,203,19,0,752,0,422,126,0,0,158,0,0,90,0,0,0,0,0,0,0,0,0,0
A0RE,861,780,10053,0,0,0,0,0,0,0,945,0,330,0,0,0,0,0,0,0,0,0,0,0
A0RT,209,286,1418,0,0,0,1085,0,0,0,267,0,916,0,0,0,0,0,0,0,0,0,0,0
A0RU,545,192,2621,0,0,0,670,0,0,0,237,0,80,0,0,0,0,0,0,0,0,0,0,0
A0SM,729,102,54,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0TX,251,11840,0,0,1532,0,0,0,0,0,13887,0,0,0,0,0,0,0,0,0,0,0,0,0
A0WA,556,416,4678,0,0,0,1899,0,0,0,480,0,169,0,0,0,0,0,0,0,0,0,0,0
A0WX,743,128,538,0,1034,0,373,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0X5,459,279,2,0,1955,0,0,0,0,0,197,0,0,1126,0,0,0,0,0,0,0,0,0,0
A0XR,461,145,61,0,1685,0,134,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0
A0YG,1097,513,36,0,2902,0,0,0,0,0,184,0,0,140,0,0,0,0,0,0,0,0,0,0
A109,0,0,0,109,0,0,8903,0,0,0,696,674,0,1704,0,0,0,0,0,0,0,0,0,426
A124,1000,273,8752,0,5435,0,1145,163,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0
A12H,295,48,0,0,1845,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
A12L,488,374,4406,29,1026,0,0,28,369,0,498,0,0,99,0,0,0,0,0,0,0,0,0,0
A12Q,613,4760,324,0,0,0,1140,191,173,0,2841,0,792,0,0,0,0,0,0,0,0,0,0,0
A130,690,422,4,0,1383,0,450,0,0,0,366,0,0,899,0,0,0,0,0,0,0,0,0,0
A13D,874,498,3736,0,4867,0,0,38,0,0,658,0,0,165,0,0,0,0,0,0,0,0,0,0
A14P,1270,1480,0,34,2386,0,1349,7,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0
A14X,902,199,5,0,2213,0,0,63,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0
A152,1149,4094,117,0,0,0,622,58,0,0,5643,0,331,0,0,0,0,0,0,0,0,0,0,0
A156,1078,175,46,0,266,0,85,0,0,0,0,0,367,0,0,0,46,0,0,0,0,0,0,0
A15E,0,368,114,0,4200,0,3121,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0
A15H,1192,40,291,12,497,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
A15K,0,0,0,1077,0,0,0,0,0,0,0,0,0,180682,0,0,0,0,0,0,0,0,0,0
A18R,413,205,37,0,2337,0,143,0,0,0,213,0,0,299,0,0,0,0,0,0,0,0,0,0
A18U,2463,3151,3112,0,0,0,152,0,214,0,2122,0,1076,0,0,0,0,0,0,0,0,0,0,0
A1AY,878,256,65,0,4048,0,0,15,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0
A1FC,1215,600,0,1451,1245,0,1211,623,0,0,2127,0,0,5057,0,0,0,0,0,0,0,0,0,0
A1J5,0,23405,0,24,0,0,0,0,0,0,17356,0,0,980,0,0,0,0,0,0,0,0,0,0
